iter	Passed	Remaining
796	9743	295898
797	9755	295859
798	9767	295839
799	9778	295813
800	9791	295801
801	9803	295792
802	9816	295792
803	9828	295769
804	9839	295742
805	9851	295706
806	9864	295712
807	9876	295712
808	9888	295691
809	9901	295689
810	9913	295685
811	9927	295726
812	9941	295768
813	9954	295783
814	9969	295836
815	9981	295837
816	9994	295823
817	10005	295799
818	10017	295781
819	10029	295761
820	10041	295735
821	10052	295691
822	10064	295674
823	10076	295649
824	10088	295617
825	10100	295600
826	10112	295595
827	10125	295592
828	10136	295561
829	10148	295527
830	10160	295506
831	10172	295480
832	10183	295452
833	10195	295431
834	10207	295395
835	10218	295372
836	10230	295330
837	10241	295292
838	10252	295253
839	10264	295212
840	10275	295186
841	10287	295147
842	10299	295151
843	10311	295117
844	10323	295110
845	10335	295088
846	10347	295057
847	10358	295035
848	10370	295011
849	10382	294982
850	10394	294954
851	10405	294924
852	10417	294894
853	10428	294864
854	10440	294826
855	10452	294809
856	10464	294791
857	10475	294759
858	10487	294728
859	10499	294724
860	10511	294710
861	10523	294690
862	10535	294662
863	10547	294640
864	10559	294619
865	10570	294584
866	10581	294544
867	10592	294504
868	10604	294483
869	10616	294449
870	10627	294412
871	10639	294385
872	10651	294363
873	10662	294342
874	10674	294319
875	10686	294288
876	10698	294284
877	10710	294263
878	10722	294250
879	10734	294222
880	10746	294199
881	10758	294182
882	10769	294155
883	10781	294125
884	10793	294097
885	10804	294071
886	10816	294044
887	10828	294032
888	10840	294000
889	10851	293964
890	10862	293932
891	10874	293892
892	10886	293890
893	10899	293883
894	10910	293864
895	10922	293837
896	10934	293807
897	10945	293785
898	10957	293760
899	10969	293730
900	10980	293705
901	10992	293677
902	11003	293646
903	11014	293603
904	11026	293584
905	11038	293547
906	11049	293518
907	11060	293476
908	11071	293436
909	11084	293425
910	11096	293427
911	11109	293417
912	11122	293428
913	11135	293437
914	11147	293431
915	11159	293404
916	11170	293364
917	11181	293338
918	11193	293319
919	11205	293302
920	11218	293293
921	11230	293279
922	11241	293252
923	11253	293232
924	11265	293200
925	11276	293162
926	11287	293133
927	11299	293117
928	11311	293089
929	11323	293080
930	11336	293079
931	11348	293061
932	11360	293041
933	11371	293014
934	11383	292993
935	11395	292965
936	11407	292959
937	11419	292935
938	11431	292920
939	11443	292906
940	11455	292886
941	11467	292872
942	11479	292851
943	11491	292849
944	11503	292826
945	11516	292829
946	11528	292809
947	11540	292797
948	11552	292788
949	11564	292771
950	11576	292754
951	11589	292748
952	11601	292739
953	11613	292728
954	11626	292722
955	11638	292708
956	11650	292698
957	11662	292685
958	11675	292683
959	11688	292693
960	11700	292692
961	11713	292702
962	11726	292707
963	11739	292716
964	11752	292713
965	11765	292714
966	11777	292705
967	11790	292711
968	11802	292699
969	11815	292701
970	11827	292689
971	11839	292685
972	11851	292663
973	11864	292662
974	11877	292664
975	11890	292673
976	11902	292673
977	11915	292664
978	11927	292663
979	11940	292653
980	11952	292638
981	11964	292634
982	11976	292619
983	11989	292610
984	12001	292603
